time,total_flux_kg_m2_s,diffusion_flux_kg_m2_s,ebullition_flux_kg_m2_s,upward_bubbling_flux_kg_m2_s,sediment_temperature_avg_c
2021-05-18,1.9074815024211487e-09,2.0204291399039674e-10,1.705438588430752e-09,0.0,4.010672679496036
2021-05-19,2.03716013349009e-09,1.909234135055726e-10,1.8462367199845173e-09,0.0,4.047263342588071
2021-05-20,2.0815186795175576e-09,1.27721548608406e-10,1.9537971309091516e-09,0.0,4.089030657696684
2021-05-21,2.288250861326446e-09,1.3647803022820426e-10,2.151772831098242e-09,0.0,4.127199279824075
2021-05-22,2.0711291493924476e-09,1.914300718297568e-10,1.879699077562691e-09,0.0,4.182080520720178
2021-05-23,2.0881883511236764e-09,2.563771754893196e-10,1.8318111756343568e-09,0.0,4.196459281497866
2021-05-24,2.0533816907075675e-09,1.9827608515043946e-10,1.8551056055571278e-09,0.0,4.188079277693406
2021-05-25,2.1311679328661625e-09,1.3712853426994798e-10,1.9940393985962146e-09,0.0,4.209183921388177
2021-05-26,2.2951879517663085e-09,1.4644789043671833e-10,2.1487400613295903e-09,0.0,4.218170721855425
2021-05-27,2.3874620092101393e-09,1.3513981059531942e-10,2.2523221986148197e-09,0.0,4.25151574567259
2021-05-28,2.0571566114924166e-09,1.644918448207022e-10,1.8926647666717142e-09,0.0,4.314683835617267
2021-05-29,2.3797456844221187e-09,3.4319736180066227e-10,2.0365483226214565e-09,0.0,4.286762511744351
2021-05-30,2.4576159802336404e-09,3.2986391659051147e-10,2.1277520636431287e-09,0.0,4.230980704924562
2021-05-31,1.989029458968616e-09,1.120885949035255e-10,1.8769408640650907e-09,0.0,4.225748957134585
2021-06-01,2.0047004683210187e-09,5.385860686324406e-11,1.9508418614577746e-09,0.0,4.24026546331984
2021-06-02,1.6197546792895423e-09,4.697235819861589e-11,1.5727823210909263e-09,0.0,4.297793383960953
2021-06-03,1.910607749824322e-09,6.481141399561351e-11,1.8457963358287087e-09,0.0,4.32102354911208
2021-06-04,1.7658628291350453e-09,6.63869783501525e-11,1.6994758507848928e-09,0.0,4.36456654384179
2021-06-05,1.78179105335019e-09,6.754455386115409e-11,1.714246499489036e-09,0.0,4.416523015214258
2021-06-06,1.736570401771331e-09,6.411480866219676e-11,1.6724555931091343e-09,0.0,4.49100976650245
2021-06-07,1.8472055523055529e-09,5.991694129292568e-11,1.7872886110126272e-09,0.0,4.527379758139699
2021-06-08,1.9109964908459175e-09,6.007544653741092e-11,1.8509210443085064e-09,0.0,4.578460738684992
2021-06-09,2.2433198814297837e-09,7.259206832088693e-11,2.1707278131088967e-09,0.0,4.597440395678271
2021-06-10,1.9922420180762397e-09,6.70285997728115e-11,1.9252134183034283e-09,0.0,4.67753460840568
2021-06-11,2.045468559277452e-09,7.873001509395294e-11,1.9667385441834993e-09,0.0,4.71892525196926
2021-06-12,2.346675964250977e-09,7.475051626570915e-11,2.271925447985268e-09,0.0,4.736239077748038
2021-06-13,2.3292049138667893e-09,6.616487725707998e-11,2.263040036609709e-09,0.0,4.779038770476683
2021-06-14,2.2188531808531307e-09,6.264482424356287e-11,2.156208356609568e-09,0.0,4.867176528725384
2021-06-15,2.446081133609112e-09,6.716672556805747e-11,2.3789144080410548e-09,0.0,4.893854482920858
2021-06-16,2.4270311567242687e-09,6.44136977534515e-11,2.362617458970817e-09,0.0,4.968895604611496
2021-06-17,2.39422762307484e-09,6.344319148254839e-11,2.330784431592292e-09,0.0,5.069051413347777
2021-06-18,2.743273181611272e-09,8.324232860346114e-11,2.660030853007811e-09,0.0,5.089822308040044
2021-06-19,3.365666376655696e-09,8.540823452918288e-11,3.280258142126513e-09,0.0,5.152100648160481
2021-06-20,3.890099754766397e-09,1.0643761795492423e-10,3.783662136811472e-09,0.0,5.230534190081002
2021-06-21,4.47001919297918e-09,1.363332015102969e-10,4.333685991468883e-09,0.0,5.2834323497860725
2021-06-22,4.408653558485298e-09,1.3777655944124944e-10,4.270876999044048e-09,0.0,5.346443200553126
2021-06-23,4.836339871410188e-09,1.3974587954379558e-10,4.696593991866393e-09,0.0,5.365384239732153
2021-06-24,5.119052153332859e-09,1.4554177781178622e-10,4.973510375521073e-09,0.0,5.418541417073999
2021-06-25,4.807185534225766e-09,1.742817589800438e-10,4.632903775245722e-09,0.0,5.476857417729399
2021-06-26,4.898794356869018e-09,1.7974761131966942e-10,4.719046745549349e-09,0.0,5.483305950893126
2021-06-27,4.95083909658689e-09,1.7602859333720743e-10,4.774810503249682e-09,0.0,5.48762059140754
2021-06-28,5.085566488673975e-09,1.8089007141952605e-10,4.904676417254449e-09,0.0,5.479997294090138
2021-06-29,5.079165760264459e-09,1.8211583011407128e-10,4.897049930150388e-09,0.0,5.494719818166627
2021-06-30,4.894306532889913e-09,1.9314093407274413e-10,4.701165598817169e-09,0.0,5.474231363810458
2021-07-01,4.8385201376888174e-09,1.56443778784876e-10,4.682076358903941e-09,0.0,5.444337032056428
2021-07-02,4.725970608223662e-09,1.1560848408365131e-10,4.6103621241400106e-09,0.0,5.464852829532432
2021-07-03,4.334187941363864e-09,1.1474744701089889e-10,4.2194404943529656e-09,0.0,5.550861992747195
2021-07-04,4.701632979866588e-09,1.8611847931282454e-10,4.515514500553763e-09,0.0,5.556392965660676
2021-07-05,4.926232175996858e-09,1.6027676782215393e-10,4.765955408174704e-09,0.0,5.566842199632161
