time,initial_guess.delta_dissolved,initial_guess.delta_emission,initial_guess.delta_bubble,initial_guess.ch4_conc_mb,all_observations.delta_dissolved,all_observations.delta_emission,all_observations.delta_bubble,all_observations.ch4_conc_mb,no_winter_obs.delta_dissolved,no_winter_obs.delta_emission,no_winter_obs.delta_bubble,no_winter_obs.ch4_conc_mb,no_winter_emission_obs.delta_dissolved,no_winter_emission_obs.delta_emission,no_winter_emission_obs.delta_bubble,no_winter_emission_obs.ch4_conc_mb,temperature_based.delta_dissolved,temperature_based.delta_emission,temperature_based.delta_bubble,temperature_based.C13_sed_prod,temperature_based.ch4_conc_mb
2023-01-12,-54.731078666670264,-58.173242699796845,-58.173242699796845,0.00134234709259103,-58.4467332264802,-61.85281703983237,-61.85281703983237,0.00134234709259103,-47.06878772902634,-54.60950104212004,-54.60950104212004,0.00134234709259103,-57.31563631460723,-60.72581188889248,-60.72581188889248,0.00134234709259103,-60.775299027537535,-64.6001209340351,-64.6001209340351,-64.600120934035,0.00134234709259103
2023-01-13,-54.887174643575065,-58.173242699796845,-58.173242699796845,0.0014061117429812885,-58.60119303000744,-61.85281703983237,-61.85281703983237,0.0014061117429812885,-47.410745578751246,-54.60950104212004,-54.60950104212004,0.0014061117429812885,-57.470281672168056,-60.72581188889248,-60.72581188889248,0.0014061117429812885,-60.9528661355957,-64.69093557976092,-64.69093557976092,-64.69093557976093,0.0014061117429812885
2023-01-14,-55.00596464257479,-58.173242699796845,-58.173242699796845,0.0014588485123853588,-58.71873789099813,-61.85281703983237,-61.85281703983237,0.0014588485123853588,-47.67097760671357,-54.60950104212004,-54.60950104212004,0.0014588485123853588,-57.58796774092012,-60.72581188889248,-60.72581188889248,0.0014588485123853588,-61.08032480288528,-64.4787341261327,-64.4787341261327,-64.47873412613279,0.0014588485123853588
2023-01-15,-55.13559830162862,-58.173242699796845,-58.173242699796845,0.0015211059217055418,-58.84701275051085,-61.85281703983237,-61.85281703983237,0.0015211059217055418,-47.95496472912997,-54.60950104212004,-54.60950104212004,0.0015211059217055418,-57.71639669824358,-60.72581188889248,-60.72581188889248,0.0015211059217055418,-61.22286779200425,-64.56301043363011,-64.56301043363011,-64.56301043363015,0.0015211059217055418
2023-01-16,-55.2426388885362,-58.173242699796845,-58.173242699796845,0.0015766644622296445,-58.95293135489133,-61.85281703983237,-61.85281703983237,0.0015766644622296445,-48.1894574409728,-54.60950104212004,-54.60950104212004,0.0015766644622296445,-57.82244254365254,-60.72581188889248,-60.72581188889248,0.0015766644622296445,-61.344779089693155,-64.68251969784966,-64.68251969784966,-64.68251969784967,0.0015766644622296445
2023-01-17,-55.33029543867096,-58.173242699796845,-58.173242699796845,0.001625277733875239,-59.039669102911255,-61.85281703983237,-61.85281703983237,0.001625277733875239,-48.381485743000276,-54.60950104212004,-54.60950104212004,0.001625277733875239,-57.909284490555436,-60.72581188889248,-60.72581188889248,0.001625277733875239,-61.44062759676916,-64.54926294980822,-64.54926294980822,-64.54926294980825,0.001625277733875239
2023-01-18,-55.410588848287425,-58.173242699796845,-58.173242699796845,0.001672514593011759,-59.11912088968896,-61.85281703983237,-61.85281703983237,0.001672514593011759,-48.55738368889184,-54.60950104212004,-54.60950104212004,0.001672514593011759,-57.98883172352143,-60.72581188889248,-60.72581188889248,0.001672514593011759,-61.52994330069683,-64.60302706478937,-64.60302706478937,-64.60302706478942,0.001672514593011759
2023-01-19,-55.48862581356684,-58.173242699796845,-58.173242699796845,0.0017211315721768026,-59.196339883822446,-61.85281703983237,-61.85281703983237,0.0017211315721768026,-48.72833846540225,-54.60950104212004,-54.60950104212004,0.0017211315721768026,-58.06614348156825,-60.72581188889248,-60.72581188889248,0.0017211315721768026,-61.61962638977136,-64.70489161602421,-64.70489161602421,-64.70489161602427,0.0017211315721768026
2023-01-20,-55.54883288185175,-58.173242699796845,-58.173242699796845,0.0017606163681050035,-59.25591587112622,-61.85281703983237,-61.85281703983237,0.0017606163681050035,-48.86023347011137,-54.60950104212004,-54.60950104212004,0.0017606163681050035,-58.12579103807314,-60.72581188889248,-60.72581188889248,0.0017606163681050035,-61.68263229255211,-64.42904254895731,-64.42904254895731,-64.4290425489574,0.0017606163681050035
2023-01-21,-55.61088569853268,-58.173242699796845,-58.173242699796845,0.001803253363918475,-59.317318259982656,-61.85281703983237,-61.85281703983237,0.001803253363918475,-48.99617193683126,-54.60950104212004,-54.60950104212004,0.001803253363918475,-58.187267190204395,-60.72581188889248,-60.72581188889248,0.001803253363918475,-61.75375470162203,-64.69062384914493,-64.69062384914493,-64.69062384914498,0.001803253363918475
