Observation #: 25722
-------------------------------------------------------------------------------------
 Time(YYYMMDD)   Depth(m) Value(celsius)  Std(%)
       20070805       9.49       17.7940     10.0
       20070805      11.10       17.4470     10.0
       20070805      11.30       17.1770     10.0
       20070806       2.77       19.0180     10.0
       20070806       3.14       18.8330     10.0
       20070806       3.59       18.6440     10.0
       20070806       4.58       18.4700     10.0
       20070806       5.57       18.3060     10.0
       20070806       6.51       18.1260     10.0
       20070806       7.48       18.0200     10.0
       20070806       8.48       17.9420     10.0
       20070806       9.49       17.8680     10.0
       20070806      11.10       17.6760     10.0
       20070806      11.30       17.5560     10.0
       20070807       2.77       19.8310     10.0
       20070807       3.14       19.5520     10.0
       20070807       3.59       19.0070     10.0
       20070807       4.58       18.5020     10.0
       20070807       5.57       18.3330     10.0
       20070807       6.51       18.1460     10.0
       20070807       7.48       17.9870     10.0
       20070807       8.48       17.8680     10.0
       20070807       9.49       17.7680     10.0
       20070807      11.10       17.4490     10.0
       20070807      11.30       17.2770     10.0
       20070808       2.77       20.1320     10.0
       20070808       3.14       19.6420     10.0
       20070808       3.59       19.1060     10.0
       20070808       4.58       18.5430     10.0
       20070808       5.57       18.3560     10.0
       20070808       6.51       18.1720     10.0
       20070808       7.48       18.0380     10.0
       20070808       8.48       17.8830     10.0
       20070808       9.49       17.6980     10.0
       20070808      11.10       17.3110     10.0
       20070808      11.30       16.9830     10.0
       20070809       2.77       21.3030     10.0
       20070809       3.14       20.4540     10.0
       20070809       3.59       19.9170     10.0
       20070809       4.58       18.8860     10.0
       20070809       5.57       18.5400     10.0
       20070809       6.51       18.2290     10.0
       20070809       7.48       18.0230     10.0
       20070809       8.48       17.8920     10.0
       20070809       9.49       17.7680     10.0
       20070809      11.10       17.4650     10.0
       20070809      11.30       17.2330     10.0
       20070810       2.77       21.4370     10.0
       20070810       3.14       21.4110     10.0
       20070810       3.59       21.3640     10.0
       20070810       4.58       20.7410     10.0
       20070810       5.57       19.6830     10.0
       20070810       6.51       18.9310     10.0
       20070810       7.48       18.1510     10.0
       20070810       8.48       17.9260     10.0
       20070810       9.49       17.7770     10.0
       20070810      11.10       17.4360     10.0
       20070810      11.30       17.2660     10.0
       20070811       2.77       21.0850     10.0
       20070811       3.14       21.0720     10.0
       20070811       3.59       21.0520     10.0
       20070811       4.58       20.9360     10.0
       20070811       5.57       19.7760     10.0
       20070811       6.51       18.8960     10.0
       20070811       7.48       18.2650     10.0
       20070811       8.48       18.0260     10.0
       20070811       9.49       17.8530     10.0
       20070811      11.10       17.3260     10.0
       20070811      11.30       17.1170     10.0
       20070812       2.77       20.5690     10.0
       20070812       3.14       20.5400     10.0
       20070812       3.59       20.3630     10.0
       20070812       4.58       19.8860     10.0
       20070812       5.57       18.8140     10.0
       20070812       6.51       18.2890     10.0
       20070812       7.48       18.1440     10.0
       20070812       8.48       18.0170     10.0
       20070812       9.49       17.8930     10.0
       20070812      11.10       17.5060     10.0
       20070812      11.30       17.3000     10.0
       20070813       2.77       20.7830     10.0
       20070813       3.14       20.6040     10.0
       20070813       3.59       20.3960     10.0
       20070813       4.58       19.6390     10.0
       20070813       5.57       19.0100     10.0
       20070813       6.51       18.6160     10.0
       20070813       7.48       18.3390     10.0
       20070813       8.48       18.0820     10.0
       20070813       9.49       17.8980     10.0
       20070813      11.10       17.3670     10.0
       20070813      11.30       17.0960     10.0
       20070814       2.77       21.5000     10.0
       20070814       3.14       21.2060     10.0
